Application Status,Merit Score,Domicile,Province,Admission Test,SSC,Terminal Degree,Optional Subject 1,Optional Subject 2,Optional Subject 3,Optional Subject 4,Optional Subject 5,Optional Subject 6,Document Verified,English Marks,Offered
Application Fee Received,601,Bahawalpur,Punjab,0,801,606,113,98,92,107,0,0,0,0,No
Challan Printed,779,Bahawalpur,Punjab,43,862,789,0,0,0,0,0,0,0,0,No
Challan Printed,764,Bahawalpur,Punjab,0,716,769,0,0,0,0,0,0,0,0,No
Application Fee Received,743,Bahawalpur,Punjab,54,826,748,149,122,46,102,44,132,0,0,No
Application Fee Received,912,Bahawalpur,Punjab,50,959,917,167,173,174,154,0,0,1,0,Yes
Application Fee Received,791,Bahawalpur,Punjab,44,908,796,165,129,162,130,40,44,0,0,No
Application Fee Received,675,OPEN,Punjab,50,846,680,123,108,98,103,38,47,0,0,No
Challan Printed,695,Bahawalpur,Punjab,43,945,700,148,118,120,43,84,40,0,0,No
Application Fee Received,791,Bahawalpur,Punjab,51,850,796,146,137,133,160,45,0,0,0,No
Application Fee Received,966,Bahawalpur,Punjab,74,939,971,150,182,178,0,0,0,1,0,Yes
Application Fee Received,860,Bahawalpur,Punjab,54,880,850,152,49,45,146,149,165,0,0,No
Application Received,829,Bahawalpur,Punjab,54,738,834,0,0,0,0,0,0,0,0,No
Application Fee Received,818,Bahawalpur,Punjab,52,786,803,92,43,35,177,144,193,0,0,No
Application Fee Received,731,Bahawalpur,Punjab,45,760,736,108,33,153,133,166,44,0,0,No
Application Fee Received,686,Bahawalpur,Punjab,49,684,691,81,44,136,131,138,0,0,0,No
Application Fee Received,881,Bahawalpur,Punjab,62,726,886,167,146,185,143,45,44,0,0,No
Application Fee Received,634,Bahawalpur,Punjab,0,732,639,123,101,98,115,43,37,0,0,No
Application Fee Received,823,Bahawalpur,Punjab,0,915,828,139,146,165,42,155,42,0,0,No
Application Fee Received,813,Bahawalpur,Punjab,54,815,818,168,118,159,46,157,40,0,0,No
Challan Printed,785,Bahawalpur,Punjab,53,710,790,147,147,108,133,44,0,0,0,No
Application Fee Received,853,Bahawalpur,Punjab,50,727,863,159,168,153,162,0,0,1,0,Yes
Application Fee Received,580,Bahawalpur,Punjab,0,714,585,110,69,119,110,0,0,0,0,No
Application Fee Received,806,Bahawalpur,Punjab,0,905,811,151,141,143,145,39,44,0,0,No
Application Fee Received,726,Bahawalpur,Punjab,0,731,731,111,154,108,141,0,0,0,0,No
Application Fee Received,823,Bahawalpur,Punjab,50,756,828,139,162,135,150,0,0,0,0,No
Application Fee Received,547,Bahawalpur,Punjab,50,661,552,124,87,36,77,22,79,0,0,No
Application Fee Received,764,Bahawalpur,Punjab,49,714,769,130,107,144,173,44,0,0,0,No
Application Fee Received,672,Bahawalpur,Punjab,53,728,677,103,122,117,103,156,37,0,0,No
Application Fee Received,632,Bahawalpur,Punjab,51,610,637,103,112,91,31,40,144,0,0,No
Application Fee Received,890,Bahawalpur,Punjab,66,912,895,160,161,153,164,44,45,1,0,Yes
Application Fee Received,840,Bahawalpur,Punjab,51,960,845,144,41,43,137,172,162,1,0,Yes
Application Fee Received,833,Bahawalpur,Punjab,57,791,838,142,48,169,131,167,0,0,0,No
Application Fee Received,887.754,Bahawalpur,Punjab,30,673,892,79,135,86,42,73,79,0,0,No
Application Fee Received,809,Bahawalpur,Punjab,56,890,814,163,40,145,110,166,43,0,0,No
Application Fee Received,698,Bahawalpur,Punjab,48,819,703,102,42,45,146,132,90,0,0,No
Application Fee Received,810,Bahawalpur,Punjab,56,940,815,158,146,143,116,0,0,0,0,No
Application Fee Received,748,Bahawalpur,Punjab,48,748,753,125,161,142,48,129,0,0,0,No
Application Fee Received,696,Bahawalpur,Punjab,47,721,701,149,39,46,131,92,140,1,0,Yes
Challan Printed,628,Bahawalpur,Punjab,49,678,633,101,144,110,92,0,0,0,0,No
Application Fee Received,794,Bahawalpur,Punjab,58,705,799,102,177,130,49,162,0,0,0,No
Application Fee Received,858,Bahawalpur,Punjab,85,850,868,164,150,166,43,44,134,1,0,Yes
Application Fee Received,751,Bahawalpur,Punjab,58,785,756,104,106,119,145,88,133,0,0,No
Application Fee Received,755,Bahawalpur,Punjab,62,798,760,160,117,45,132,47,121,0,0,No
Application Fee Received,862,Bahawalpur,Punjab,44,872,867,168,158,169,155,40,41,0,0,No
Application Fee Received,904,Bahawalpur,Punjab,52,916,909,164,179,155,171,45,43,0,0,No
Challan Printed,724,Bahawalpur,Punjab,43,733,729,117,128,116,45,143,41,0,0,No
Application Fee Received,721,Bahawalpur,Punjab,40,779,726,115,142,126,112,0,0,0,0,No
