Application Status,Merit Score,Domicile,Province,Admission Test,SSC,Terminal Degree,Optional Subject 1,Optional Subject 2,Optional Subject 3,Optional Subject 4,Optional Subject 5,Optional Subject 6,Document Verified,English Marks,Offered
Challan Printed,1014.091,Bahawalpur,Punjab,64,834,955,179,173,173,189,0,0,0,0,No
Application Fee Received,925,Bahawalpur,Punjab,56,841,874,159,161,161,159,39,43,0,0,No
Application Fee Received,1039,Bahawalpur,Punjab,78,934,966,175,171,186,46,179,48,0,0,No
Application Fee Received,663,Bahawalpur,Punjab,52,630,596,104,118,101,39,0,0,0,0,No
Application Fee Received,975.636,Bahawalpur,Punjab,59,903,921,173,183,168,169,0,0,0,0,No
Application Fee Received,763,Bahawalpur,Punjab,59,890,724,151,153,114,30,43,131,0,0,No
Application Fee Received,828,Bahawalpur,Punjab,62,841,771,141,142,137,155,36,42,0,0,No
Application Fee Received,884,Bahawalpur,Punjab,60,835,829,140,127,169,172,37,44,0,0,No
Challan Printed,985,Bahawalpur,Punjab,59,938,911,166,182,44,141,46,178,0,0,No
Application Fee Received,808,Bahawalpur,Punjab,41,859,772,140,134,153,109,42,41,0,0,No
Application Fee Received,944,Bahawalpur,Punjab,58,905,891,147,46,39,170,160,165,0,0,No
Application Fee Received,834,Bahawalpur,Punjab,51,760,788,0,0,0,0,0,0,0,0,No
Challan Printed,982,Bahawalpur,Punjab,68,855,924,167,177,176,163,0,0,0,0,No
Application Fee Received,795,Bahawalpur,Punjab,45,821,755,161,142,44,141,41,115,0,0,No
Application Fee Received,988.727,OPEN,Punjab,78,965,920,191,169,177,127,46,48,0,0,No
Challan Printed,1060,Bahawalpur,Punjab,82,930,983,191,175,184,49,174,0,0,0,No
Application Fee Received,693,Bahawalpur,Punjab,48,632,650,116,106,128,99,41,39,0,0,No
Challan Printed,990.182,Bahawalpur,Punjab,60,972,935,181,158,182,46,171,46,0,0,No
Application Fee Received,827,Bahawalpur,Punjab,39,669,812,151,136,168,147,40,40,0,0,No
Challan Printed,1013.455,Bahawalpur,Punjab,88,909,930,166,176,175,155,47,44,0,0,No
Application Fee Received,916,Bahawalpur,Punjab,55,874,846,176,44,148,45,152,136,0,0,No
Application Fee Received,912.182,Bahawalpur,Punjab,56,840,861,159,145,145,164,45,46,0,0,No
Application Fee Received,991.091,Bahawalpur,Punjab,63,859,933,166,187,167,166,47,45,0,0,No
Challan Printed,940,Bahawalpur,Punjab,66,854,884,163,162,171,0,153,0,0,0,No
