Application Status,Domicile,Gender,Province,Admission Test,SSC,Terminal Degree,Document Verified,English Marks,Offered
No,Bahawalpur,female,Punjab,20,736,533,0,0,No
Complete,Bahawalpur,female,Punjab,49,806,793,0,0,No
Complete,Bahawalpur,male,Punjab,59,776,782,0,0,No
Complete,Bahawalpur,female,Punjab,52,802,889,0,0,No
Complete,Bahawalpur,male,Punjab,42,549,598,1,0,No
Complete,Bahawalpur,male,Punjab,40,546,604,1,0,No
Complete,Bahawalpur,male,Punjab,52,844,812,1,0,No
Complete,Bahawalpur,male,Punjab,64,883,747,0,0,No
No,Bahawalpur,male,Punjab,70,718,635,0,0,No
Complete,Bahawalpur,male,Punjab,68,761,583,0,0,No
Complete,Bahawalpur,female,Punjab,71,791,744,1,0,No
Complete,Bahawalpur,male,Punjab,57,731,695,0,0,No
Complete,Bahawalpur,female,Punjab,47,798,685,0,0,No
No,Bahawalpur,male,Punjab,55,671,612,0,0,No
Complete,Bahawalpur,male,Punjab,64,776,648,0,0,No
Complete,Bahawalpur,male,Punjab,43,623,597,0,0,No
Complete,Bahawalpur,male,Punjab,46,719,770,0,0,No
No,Bahawalpur,male,Punjab,44,825,683,0,0,No
Complete,Bahawalpur,female,Punjab,42,624,460,0,0,No
Complete,Bahawalpur,male,Punjab,60,800,750,0,0,No
Complete,Bahawalpur,male,Punjab,47,708,671,0,0,No
Complete,Bahawalpur,male,Punjab,49,577,598,0,0,No
Complete,Bahawalpur,male,Punjab,31,680,511,1,0,No
Complete,Bahawalpur,male,Punjab,62,901,838,1,0,Yes
Complete,Bahawalpur,male,Punjab,58,474,662,1,0,No
Complete,Bahawalpur,male,Punjab,48,726,670,0,0,No
Complete,Bahawalpur,male,Punjab,63,845,682,1,0,No
Complete,Bahawalpur,male,Punjab,72,599,621,0,0,No
Complete,Bahawalpur,male,Punjab,38,709,683,0,0,No
Complete,Bahawalpur,male,Punjab,43,647,791,0,0,No
Complete,Bahawalpur,female,Punjab,66,769,913,1,0,Yes
Complete,Bahawalpur,male,Punjab,41,667,773,0,0,No
No,Bahawalpur,male,Punjab,55,826,667,0,0,No
Complete,Bahawalpur,male,Punjab,53,595,822,1,0,No
Complete,Bahawalpur,male,Punjab,41,516,628,0,0,No
Complete,Bahawalpur,male,Punjab,56,859,764,0,0,No
No,Bahawalpur,male,Punjab,51,659,590,0,0,No
Complete,Bahawalpur,female,Punjab,48,907,807,1,0,No
Complete,Bahawalpur,male,Punjab,62,790,707,1,0,No
Complete,Bahawalpur,female,Punjab,40,753,542,0,0,No
No,OPEN,female,Punjab,0,756,489,0,0,No
No,OPEN,male,Punjab,38,629,723,0,0,No
Complete,Bahawalpur,male,Punjab,56,833,830,1,0,Yes
No,Bahawalpur,male,Punjab,46,791,827,0,0,No
Complete,Bahawalpur,male,Punjab,41,748,583,0,0,No
Complete,Bahawalpur,female,Punjab,46,666,638,0,0,No
No,Bahawalpur,male,Punjab,47,585,566,0,0,No
Complete,Bahawalpur,male,Punjab,40,771,570,0,0,No
Complete,Bahawalpur,male,Punjab,50,684,622,0,0,No
Complete,Bahawalpur,male,Punjab,53,796,791,1,0,No
Complete,Bahawalpur,male,Punjab,67,914,938,1,0,Yes
No,Bahawalpur,female,Punjab,54,830,579,0,0,No
Complete,Bahawalpur,male,Punjab,45,510,698,1,0,No
Complete,Bahawalpur,female,Punjab,61,878,784,1,0,No
Complete,Bahawalpur,male,Punjab,52,523,811,1,0,No
Complete,Bahawalpur,male,Punjab,63,806,776,1,0,No
Complete,Bahawalpur,male,Punjab,48,729,622,0,0,No
Complete,Bahawalpur,male,Punjab,50,765,764,1,0,No
No,Bahawalpur,male,Punjab,49,590,668,0,0,No
Complete,Bahawalpur,male,Punjab,58,527,452,0,0,No
Complete,Bahawalpur,male,Punjab,56,560,643,1,0,No
No,Bahawalpur,male,Punjab,27,0,0,0,0,No
Complete,Bahawalpur,female,Punjab,62,747,738,0,0,No
No,Bahawalpur,male,Punjab,50,578,552,0,0,No
No,Bahawalpur,female,Punjab,46,583,728,0,0,No
No,Bahawalpur,female,Punjab,57,618,552,0,0,No
Complete,Bahawalpur,female,Punjab,47,827,741,0,0,No
Complete,Bahawalpur,male,Punjab,50,567,492,1,0,No
Complete,Bahawalpur,male,Punjab,56,857,750,0,0,No
Complete,Bahawalpur,male,Punjab,47,577,850,1,0,Yes
Complete,Bahawalpur,male,Punjab,57,685,824,1,0,Yes
Complete,Bahawalpur,female,Punjab,47,897,740,0,0,No
Complete,Bahawalpur,male,Punjab,52,684,589,1,0,No
Complete,Bahawalpur,male,Punjab,63,709,876,0,0,No
Complete,Bahawalpur,female,Punjab,44,906,799,0,0,No
Complete,Bahawalpur,male,Punjab,49,525,787,0,0,No
Complete,Bahawalpur,female,Punjab,47,735,857,1,0,Yes
Complete,Bahawalpur,male,Punjab,50,696,612,0,0,No
No,Bahawalpur,male,Punjab,59,800,642,0,0,No
Complete,Bahawalpur,male,Punjab,63,842,781,1,0,No
No,Bahawalpur,male,Punjab,47,683,574,0,0,No
Complete,Bahawalpur,male,Punjab,44,722,596,0,0,No
Complete,Bahawalpur,male,Punjab,52,712,736,0,0,No
Complete,Bahawalpur,female,Punjab,57,689,781,0,0,No
Complete,Bahawalpur,male,Punjab,45,671,782,0,0,No
Complete,OPEN,male,Punjab,66,836,790,0,0,No
Complete,Bahawalpur,male,Punjab,51,821,704,0,0,No
Complete,Bahawalpur,male,Punjab,50,864,652,0,0,No
Complete,Bahawalpur,male,Punjab,45,674,645,0,0,No
Complete,Bahawalpur,male,Punjab,52,710,657,0,0,No
Complete,Bahawalpur,male,Punjab,44,791,674,0,0,No
Complete,Bahawalpur,male,Punjab,50,564,639,0,0,No
Complete,Bahawalpur,male,Punjab,55,614,622,0,0,No
No,Bahawalpur,male,Punjab,43,862,789,0,0,No
Complete,Bahawalpur,male,Punjab,55,795,734,0,0,No
No,Bahawalpur,male,Punjab,38,638,541,0,0,No
Complete,Bahawalpur,male,Punjab,50,735,780,0,0,No
Complete,Bahawalpur,male,Punjab,54,722,770,0,0,No
Complete,Bahawalpur,male,Punjab,52,752,745,0,0,No
Complete,Bahawalpur,female,Punjab,82,961,972,1,0,Yes
Complete,Bahawalpur,male,Punjab,52,786,803,1,0,No
Complete,Bahawalpur,male,Punjab,49,684,691,0,0,No
Complete,Bahawalpur,male,Punjab,71,729,634,0,0,No
Complete,Bahawalpur,male,Punjab,50,604,755,0,0,No
Complete,Bahawalpur,male,Punjab,42,508,724,1,0,No
Complete,Bahawalpur,male,Punjab,40,588,832,0,0,No
Complete,Bahawalpur,male,Punjab,55,814,771,0,0,No
Complete,Bahawalpur,male,Punjab,57,741,598,0,0,No
Complete,Bahawalpur,male,Punjab,50,756,828,0,0,No
Complete,Bahawalpur,male,Punjab,50,575,652,0,0,No
No,Bahawalpur,male,Punjab,51,666,742,0,0,No
No,Bahawalpur,male,Punjab,43,684,620,0,0,No
Complete,Bahawalpur,male,Punjab,53,878,810,1,0,No
Complete,Bahawalpur,male,Punjab,58,753,705,0,0,No
Complete,Bahawalpur,female,Punjab,40,510,523,1,0,No
Complete,Bahawalpur,male,Punjab,40,546,743,0,0,No
Complete,Bahawalpur,male,Punjab,50,715,654,0,0,No
Complete,Bahawalpur,male,Punjab,56,752,684,0,0,No
Complete,Bahawalpur,male,Punjab,49,714,769,0,0,No
Complete,Bahawalpur,female,Punjab,55,553,811,1,0,No
Complete,Bahawalpur,male,Punjab,50,651,724,0,0,No
Complete,Bahawalpur,male,Punjab,53,808,661,0,0,No
Complete,Bahawalpur,female,Punjab,46,586,517,0,0,No
Complete,Bahawalpur,male,Punjab,51,960,845,1,0,Yes
Complete,Bahawalpur,male,Punjab,46,545,564,0,0,No
Complete,Bahawalpur,male,Punjab,52,765,735,0,0,No
Complete,Bahawalpur,male,Punjab,47,655,560,0,0,No
Complete,Bahawalpur,male,Punjab,55,758,864,1,0,Yes
Complete,Bahawalpur,male,Punjab,56,739,704,0,0,No
Complete,Bahawalpur,male,Punjab,57,801,711,0,0,No
No,Bahawalpur,male,Punjab,50,742,754,0,0,No
No,Bahawalpur,male,Punjab,46,512,518,0,0,No
Complete,Bahawalpur,female,Punjab,53,717,615,0,0,No
Complete,Bahawalpur,male,Punjab,57,602,645,1,0,No
No,Bahawalpur,male,Punjab,30,565,570,0,0,No
No,Bahawalpur,male,Punjab,55,732,742,0,0,No
Complete,Bahawalpur,female,Punjab,61,832,920,1,0,Yes
Complete,Bahawalpur,male,Punjab,58,896,695,0,0,No
Complete,Bahawalpur,male,Punjab,61,951,735,0,0,No
Complete,Bahawalpur,female,Punjab,52,789,623,0,0,No
Complete,Bahawalpur,male,Punjab,57,602,763,0,0,No
Complete,Bahawalpur,female,Punjab,61,918,907,1,0,Yes
Complete,Bahawalpur,male,Punjab,48,748,753,0,0,No
Complete,Bahawalpur,female,Punjab,41,542,619,0,0,No
Complete,Bahawalpur,female,Punjab,57,885,814,0,0,No
Complete,Bahawalpur,male,Punjab,53,777,802,0,0,No
Complete,Bahawalpur,male,Punjab,52,553,754,0,0,No
Complete,Bahawalpur,female,Punjab,85,850,868,1,0,Yes
Complete,Bahawalpur,male,Punjab,50,648,644,0,0,No
Complete,Bahawalpur,male,Punjab,63,772,703,1,0,No
Complete,Bahawalpur,male,Punjab,50,906,761,0,0,No
Complete,Bahawalpur,male,Punjab,63,710,604,0,0,No
No,Bahawalpur,male,Punjab,28,682,758,0,0,No
Complete,Bahawalpur,male,Punjab,46,830,624,0,0,No
Complete,Bahawalpur,male,Punjab,53,726,727,0,0,No
