Application Status,Admission Test,SSC,Terminal Degree,Optional Subject 5,Offered
Complete,51,649,659,140,No
Complete,50,596,604,131,No
Complete,33,630,438,69,No
Complete,47,762,754,129,No
Complete,52,664,842,0,No
Complete,0,792,700,130,No
Complete,56,593,589,128,No
Complete,52,582,635,0,No
Complete,25,896,933,47,No
Complete,46,583,728,145,No
Complete,43,771,777,148,No
Complete,0,725,657,163,No
Complete,55,633,622,73,No
