Application Status,Admission Test,SSC,Terminal Degree,Optional Subject 1,Optional Subject 2,Optional Subject 4,Optional Subject 5,Offered
Complete,52,826,795,0,0,0,0,Yes
Complete,47,873,841,150,178,106,134,Yes
Complete,65,931,877,153,141,164,166,Yes
Complete,27,882,853,148,150,96,162,Yes
Complete,44,751,675,120,139,127,0,No
Complete,38,876,779,138,137,156,121,Yes
Complete,40,713,603,80,100,84,127,No
Complete,48,706,604,100,81,135,0,No
Complete,50,669,643,85,139,98,152,No
Complete,63,631,721,129,121,139,117,Yes
Complete,54,706,625,111,139,99,99,No
Complete,47,767,652,106,125,88,0,No
Complete,0,840,796,155,133,125,152,No
Complete,53,843,595,139,41,82,67,No
Complete,40,823,702,109,42,122,108,No
Complete,0,760,783,139,104,139,159,No
Complete,53,724,772,141,150,126,42,Yes
Complete,48,798,675,94,135,44,140,No
Complete,79,642,704,0,0,0,0,Yes
Complete,61,902,837,0,0,0,0,Yes
Complete,43,851,737,137,142,110,131,Yes
Complete,54,806,674,0,0,0,0,No
Complete,41,688,543,83,96,96,86,No
Complete,100,915,780,155,126,131,148,No
Complete,48,861,780,162,115,143,112,Yes
Complete,50,686,631,129,132,93,93,No
Complete,51,875,699,144,120,141,124,Yes
Complete,47,689,722,111,140,130,0,Yes
Complete,0,617,822,151,119,166,144,No
Complete,54,885,892,150,158,174,168,Yes
Complete,77,935,843,132,160,138,153,Yes
Complete,0,586,539,150,84,83,79,No
Complete,59,667,672,155,0,0,93,No
Complete,42,714,667,136,104,102,0,No
Complete,50,731,504,64,0,0,0,No
Complete,50,834,593,83,139,122,84,No
Complete,49,747,825,145,138,155,151,Yes
Complete,42,627,563,90,0,0,96,No
Complete,44,899,864,156,176,143,158,Yes
Complete,44,727,687,144,40,127,104,No
Complete,51,814,733,146,126,136,104,Yes
Complete,52,676,567,121,40,87,92,No
Complete,26,627,630,129,103,91,94,No
Complete,51,769,623,107,82,119,140,No
Complete,45,745,711,0,0,0,0,Yes
Complete,56,777,800,130,80,45,150,Yes
Complete,47,749,599,124,108,95,99,No
Complete,41,841,914,0,0,0,0,Yes
Complete,47,727,605,148,86,82,117,No
Complete,0,846,767,156,136,106,44,No
Complete,0,844,725,145,141,118,113,No
Complete,43,639,670,124,110,133,0,No
Complete,60,812,626,112,107,105,39,No
Complete,41,672,717,152,118,126,0,Yes
Complete,56,855,781,151,147,122,0,Yes
Complete,53,838,556,141,81,90,0,No
Complete,53,809,784,0,0,0,0,Yes
Complete,46,697,785,126,150,143,127,Yes
Complete,43,859,751,134,122,150,126,Yes
Complete,50,623,751,157,135,150,83,Yes
Complete,40,574,532,116,123,25,0,No
Complete,36,853,764,0,0,0,0,Yes
Complete,40,837,706,147,113,131,112,Yes
Complete,26,759,790,160,135,163,101,Yes
Complete,60,721,645,125,0,0,100,No
Complete,51,916,813,158,141,152,118,Yes
Complete,54,780,799,162,147,128,43,Yes
Complete,60,616,537,0,0,0,0,No
Complete,43,514,505,70,98,91,0,No
Complete,50,789,771,150,131,128,150,Yes
Complete,27,779,651,80,114,142,135,No
Complete,54,910,859,143,150,174,153,Yes
Complete,47,759,664,111,138,111,0,No
Complete,15,746,827,146,150,148,0,Yes
Complete,56,593,589,89,109,83,128,No
Complete,56,879,775,126,128,164,129,Yes
Complete,41,689,618,107,120,118,0,No
Complete,55,901,828,140,161,138,165,Yes
Complete,51,697,664,101,104,123,48,No
Complete,1,909,848,143,155,139,143,Yes
Complete,37,897,889,155,164,144,179,Yes
Complete,52,670,610,124,112,108,44,No
Complete,47,651,601,86,123,102,105,No
Complete,50,821,622,134,115,93,0,No
Complete,63,803,921,172,161,167,159,Yes
Complete,51,555,468,81,75,74,0,No
Complete,47,683,574,122,122,82,85,No
Complete,44,805,501,82,109,81,58,No
Complete,28,671,704,121,138,93,133,No
Complete,54,620,688,78,38,55,51,No
Complete,54,864,908,178,153,168,145,Yes
Complete,51,937,887,145,159,164,163,Yes
Complete,30,770,592,148,87,77,83,No
Complete,52,699,788,142,145,124,132,Yes
Complete,39,846,808,0,0,0,0,No
Complete,41,830,657,104,126,96,143,No
Complete,44,706,674,132,130,127,90,No
Complete,49,759,824,0,0,0,0,Yes
Complete,52,861,682,118,125,30,123,Yes
Complete,51,897,820,144,148,148,140,Yes
Complete,12,805,640,130,82,136,85,No
Complete,38,721,716,145,137,127,28,No
Complete,40,752,707,109,127,134,120,No
Complete,46,742,804,126,142,159,151,Yes
Complete,52,891,706,133,128,134,102,Yes
Complete,59,826,748,147,138,124,0,Yes
Complete,45,654,521,0,0,0,0,No
Complete,55,945,864,162,176,159,143,Yes
Complete,40,641,535,74,68,135,0,No
Complete,49,753,592,0,0,0,0,No
Complete,51,830,895,162,156,161,158,Yes
Complete,41,607,524,124,101,81,80,No
Complete,48,822,688,129,108,99,47,No
Complete,51,698,560,99,126,85,89,No
Complete,0,749,652,0,0,0,0,No
