Application Status,Admission Test,SSC,Terminal Degree,Document Verified,Offered
Complete,54,790,706,0,No
Complete,43,812,882,0,No
Complete,50,749,726,0,No
Complete,51,937,875,0,No
Complete,43,823,704,0,No
Complete,63,739,816,0,No
NotComplete,52,669,642,0,No
Complete,60,840,765,1,No
Complete,46,715,689,0,No
Complete,33,601,647,0,No
Complete,51,808,825,1,No
Complete,57,900,860,0,No
Complete,51,662,754,0,No
NotComplete,60,701,748,0,No
Complete,55,826,818,0,No
Complete,50,453,546,0,No
Complete,57,724,780,0,No
Complete,60,832,683,0,No
Complete,60,554,682,0,No
Complete,52,864,659,0,No
NotComplete,55,758,694,0,No
Complete,54,638,717,0,No
Complete,50,701,816,0,No
NotComplete,43,703,723,0,No
NotComplete,50,798,814,0,No
Complete,32,717,788,0,No
NotComplete,0,831,794,0,No
Complete,41,636,763,0,No
Complete,48,826,757,0,No
Complete,43,615,854,0,No
Complete,62,865,913,1,Yes
Complete,49,915,800,0,No
Complete,31,693,650,0,No
Complete,50,799,787,0,No
Complete,51,673,746,0,No
Complete,59,737,627,0,No
Complete,50,488,744,0,No
NotComplete,42,734,604,0,No
NotComplete,41,449,818,0,No
NotComplete,46,743,794,0,No
Complete,47,737,590,0,No
Complete,53,712,775,0,No
Complete,49,846,879,0,No
Complete,50,708,613,0,No
Complete,53,821,812,0,No
Complete,50,561,745,0,No
Complete,50,598,622,0,No
Complete,50,616,840,0,No
Complete,59,836,791,1,No
Complete,34,512,611,0,No
Complete,60,853,815,0,No
Complete,49,878,815,0,No
Complete,55,777,679,0,No
Complete,50,683,794,0,No
Complete,40,802,772,1,No
NotComplete,43,620,800,0,No
Complete,50,747,801,0,No
Complete,72,758,592,0,No
Complete,34,569,729,0,No
Complete,45,585,601,0,No
NotComplete,43,837,756,0,No
Complete,50,936,787,0,No
Complete,44,768,847,0,No
NotComplete,52,735,682,0,No
Complete,57,926,920,1,Yes
NotComplete,55,723,730,0,No
Complete,43,592,670,0,No
Complete,47,811,565,0,No
Complete,60,845,915,0,No
Complete,60,814,731,0,No
Complete,48,541,583,0,No
Complete,57,840,810,0,No
Complete,55,670,951,1,Yes
Complete,43,701,604,0,No
Complete,52,733,672,0,No
Complete,50,581,643,0,No
Complete,66,693,888,1,Yes
NotComplete,60,602,623,0,No
Complete,58,789,819,0,No
Complete,45,788,693,0,No
Complete,44,917,842,0,No
NotComplete,53,735,739,0,No
Complete,48,584,643,0,No
Complete,52,573,708,0,No
Complete,61,651,838,1,Yes
Complete,43,853,734,0,No
Complete,45,602,678,0,No
Complete,50,832,679,0,No
NotComplete,69,851,812,0,No
NotComplete,81,931,974,0,No
Complete,64,839,863,0,No
Complete,43,861,702,0,No
NotComplete,58,650,638,0,No
Complete,57,798,816,0,No
Complete,46,856,841,0,No
NotComplete,0,829,647,0,No
Complete,61,922,860,1,Yes
NotComplete,72,908,922,0,No
Complete,67,968,925,1,Yes
Complete,63,741,811,0,No
Complete,48,802,751,0,No
NotComplete,66,874,916,0,No
Complete,65,863,773,1,No
NotComplete,49,591,589,0,No
Complete,49,606,792,0,No
NotComplete,58,924,744,0,No
Complete,47,729,725,0,No
NotComplete,41,920,799,0,No
Complete,44,710,801,0,No
Complete,54,776,840,0,No
NotComplete,54,786,777,0,No
Complete,43,749,683,0,No
Complete,52,672,839,0,No
